OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,cover,batimv2uw,lon,lat
"63","23758",Macroalgas,"4",6465363.16956000030,"23758","23759","4",BR CS,PUMA.kmz,0.09678654493,0.00002437300,281083.560,life cover,-0.20000000000,-86.968,20.722
"64","23762",Macroalgas,"4",7215.99999960000,"23762","23763","1",RF N,PUMA.kmz,0.00316357094,0.00000015575,1795.951,life cover,-4.00000000000,-86.957,20.734
"65","23762",Macroalgas,"4",7215.99999960000,"23762","23763","2",BR N,PUMA.kmz,0.00106027009,0.00000001790,206.388,life cover,-2.70000000000,-86.958,20.734
"66","23767",Macroalgas,"4",288.00000003500,"23767","23768","1",RF N,PUMA.kmz,0.00058884935,0.00000001286,148.266,life cover,-5.90000000000,-86.956,20.735
"67","23777",Macroalgas,"4",703.99999997800,"23777","23778","1",RF N,PUMA.kmz,0.00141901872,0.00000006110,704.564,life cover,-4.20000000000,-86.956,20.740
"68","23778",Macroalgas,"4",1535.99999999000,"23778","23779","1",RF N,PUMA.kmz,0.00291032946,0.00000013332,1537.228,life cover,-3.80000000000,-86.956,20.740
"69","23779",Macroalgas,"4",416.00000007700,"23779","23780","1",RF N,PUMA.kmz,0.00119760383,0.00000003611,416.333,life cover,-4.40000000000,-86.957,20.741
"70","23780",Macroalgas,"4",463.99999994900,"23780","23781","1",RF N,PUMA.kmz,0.00089221309,0.00000002248,259.176,life cover,-5.40000000000,-86.953,20.741
"71","23781",Macroalgas,"4",816.00000006000,"23781","23782","1",RF N,PUMA.kmz,0.00216467814,0.00000007082,816.652,life cover,-4.20000000000,-86.956,20.741
"72","23782",Macroalgas,"4",304.00000001700,"23782","23783","1",RF N,PUMA.kmz,0.00105303241,0.00000002639,304.243,life cover,-3.90000000000,-86.958,20.741
"73","23783",Macroalgas,"4",367.99999999700,"23783","23784","1",RF N,PUMA.kmz,0.00109824673,0.00000002560,295.175,life cover,-3.60000000000,-86.958,20.741
"74","23784",Macroalgas,"4",287.99999985700,"23784","23785","1",RF N,PUMA.kmz,0.00097163207,0.00000002500,288.230,life cover,-4.00000000000,-86.956,20.741
"75","23785",Macroalgas,"4",288.00000000700,"23785","23786","1",RF N,PUMA.kmz,0.00067767399,0.00000001421,163.842,life cover,-5.30000000000,-86.953,20.741
"76","23786",Macroalgas,"4",1535.99999990000,"23786","23787","1",RF N,PUMA.kmz,0.00273840101,0.00000013161,1517.540,life cover,-4.20000000000,-86.960,20.741
"77","23787",Macroalgas,"4",1775.99999993000,"23787","23788","1",RF N,PUMA.kmz,0.00365599516,0.00000015415,1777.423,life cover,-4.50000000000,-86.957,20.741
"78","23788",Macroalgas,"4",1728.00000011000,"23788","23789","1",RF N,PUMA.kmz,0.00339742747,0.00000013560,1563.510,life cover,-5.20000000000,-86.953,20.741
"79","23789",Macroalgas,"4",271.99999998000,"23789","23790","1",RF N,PUMA.kmz,0.00105303331,0.00000002361,272.218,life cover,-4.70000000000,-86.957,20.742
"80","23790",Macroalgas,"4",624.00000012800,"23790","23791","1",RF N,PUMA.kmz,0.00240889354,0.00000005416,624.497,life cover,-4.50000000000,-86.956,20.742
"81","23791",Macroalgas,"4",752.00000017800,"23791","23792","1",RF N,PUMA.kmz,0.00210151964,0.00000006527,752.602,life cover,-5.10000000000,-86.957,20.742
"82","23792",Macroalgas,"4",4191.99999989000,"23792","23793","1",RF N,PUMA.kmz,0.00505613574,0.00000020130,2321.105,life cover,-5.20000000000,-86.958,20.743
"83","23793",Macroalgas,"4",11792.00000040000,"23793","23794","1",RF N,PUMA.kmz,0.01511504690,0.00000092361,10649.746,life cover,-4.50000000000,-86.953,20.743
"84","23795",Macroalgas,"4",784.00000005800,"23795","23796","1",RF N,PUMA.kmz,0.00240891604,0.00000006805,784.628,life cover,-4.90000000000,-86.953,20.744
"85","23832",Macroalgas,"4",368736.00000100001,"23832","23833","1",RF N,PUMA.kmz,0.03033716767,0.00000162607,18749.545,life cover,-4.70000000000,-86.957,20.743
"86","40114",Estructura Coralina,"5",96.00000000930,"40114","40115","4",BR CS,PUMA.kmz,0.00021503999,0.00000000139,16.043,life cover,-3.70000000000,-86.987,20.707
"87","40116",Estructura Coralina,"5",63.99999996650,"40116","40117","4",BR CS,PUMA.kmz,0.00027072692,0.00000000452,52.161,life cover,-2.50000000000,-86.978,20.714
"88","40117",Estructura Coralina,"5",1151.99999971000,"40117","40118","4",BR CS,PUMA.kmz,0.00093105773,0.00000003437,396.366,life cover,-0.30000000000,-86.966,20.724
"89","40118",Estructura Coralina,"5",63.99999997530,"40118","40119","1",RF N,PUMA.kmz,0.00029824847,0.00000000555,64.051,life cover,-4.80000000000,-86.960,20.728
"90","40119",Estructura Coralina,"5",159.99999992800,"40119","40120","1",RF N,PUMA.kmz,0.00060105022,0.00000001389,160.128,life cover,-6.60000000000,-86.959,20.728
"91","40120",Estructura Coralina,"5",96.00000002420,"40120","40121","1",RF N,PUMA.kmz,0.00044737406,0.00000000833,96.076,life cover,-5.60000000000,-86.959,20.728
"92","40121",Estructura Coralina,"5",255.99999997600,"40121","40122","1",RF N,PUMA.kmz,0.00083156895,0.00000002222,256.204,life cover,-6.00000000000,-86.957,20.730
"93","40122",Estructura Coralina,"5",416.00000005400,"40122","40123","1",RF N,PUMA.kmz,0.00097614487,0.00000003610,416.334,life cover,-5.80000000000,-86.957,20.730
"94","40123",Estructura Coralina,"5",560.00000004000,"40123","40124","1",RF N,PUMA.kmz,0.00127439424,0.00000004860,560.447,life cover,-6.00000000000,-86.957,20.730
"95","40124",Estructura Coralina,"5",208.00000009000,"40124","40125","1",RF N,PUMA.kmz,0.00067334492,0.00000001805,208.167,life cover,-6.00000000000,-86.956,20.731
"96","40125",Estructura Coralina,"5",256.00000002600,"40125","40126","1",RF N,PUMA.kmz,0.00075018210,0.00000002222,256.205,life cover,-5.60000000000,-86.956,20.731
"97","40126",Estructura Coralina,"5",64.00000000700,"40126","40127","1",RF N,PUMA.kmz,0.00037509195,0.00000000555,64.052,life cover,-8.20000000000,-86.955,20.731
"98","40127",Estructura Coralina,"5",303.99999995600,"40127","40128","1",RF N,PUMA.kmz,0.00136832304,0.00000002638,304.242,life cover,-6.60000000000,-86.956,20.732
"99","40128",Estructura Coralina,"5",320.00000005000,"40128","40129","1",RF N,PUMA.kmz,0.00075473717,0.00000002777,320.255,life cover,-6.60000000000,-86.955,20.732
"100","40131",Estructura Coralina,"5",1951.99999993000,"40131","40132","1",RF N,PUMA.kmz,0.00283796731,0.00000016941,1953.560,life cover,-6.00000000000,-86.955,20.733
"101","40132",Estructura Coralina,"5",63.99999998090,"40132","40133","1",RF N,PUMA.kmz,0.00029825567,0.00000000555,64.051,life cover,-6.60000000000,-86.955,20.733
"102","40133",Estructura Coralina,"5",96.00000009830,"40133","40134","1",RF N,PUMA.kmz,0.00045193453,0.00000000833,96.078,life cover,-7.90000000000,-86.955,20.733
"103","40134",Estructura Coralina,"5",255.99999992400,"40134","40135","1",RF N,PUMA.kmz,0.00082703097,0.00000002222,256.205,life cover,-5.90000000000,-86.955,20.733
"104","40135",Estructura Coralina,"5",14159.99999960000,"40135","40136","1",RF N,PUMA.kmz,0.01259785968,0.00000075605,8718.231,life cover,-0.80000000000,-86.957,20.733
"105","40135",Estructura Coralina,"5",14159.99999960000,"40135","40136","2",BR N,PUMA.kmz,0.00528698117,0.00000035576,4102.409,life cover,-0.60000000000,-86.957,20.733
"106","40136",Estructura Coralina,"5",559.99999993100,"40136","40137","1",RF N,PUMA.kmz,0.00120212742,0.00000004860,560.449,life cover,-6.70000000000,-86.954,20.733
"107","40137",Estructura Coralina,"5",64.00000003210,"40137","40138","2",BR N,PUMA.kmz,0.00022157155,0.00000000216,24.920,life cover,-2.70000000000,-86.958,20.734
"108","40138",Estructura Coralina,"5",192.00000005500,"40138","40139","1",RF N,PUMA.kmz,0.00027713203,0.00000000293,33.802,life cover,-1.40000000000,-86.957,20.734
"109","40139",Estructura Coralina,"5",358.39999998000,"40139","40140","1",RF N,PUMA.kmz,0.00107803564,0.00000002589,298.596,life cover,-2.10000000000,-86.957,20.734
"110","40140",Estructura Coralina,"5",800.00000003800,"40140","40141","1",RF N,PUMA.kmz,0.00149583343,0.00000006943,800.641,life cover,-5.40000000000,-86.955,20.734
"111","40142",Estructura Coralina,"5",2902.08000006000,"40142","40143","1",RF N,PUMA.kmz,0.00447138829,0.00000025187,2904.329,life cover,-5.00000000000,-86.955,20.734
"112","40144",Estructura Coralina,"5",5696.00000006000,"40144","40145","1",RF N,PUMA.kmz,0.00193145256,0.00000005987,690.332,life cover,-5.30000000000,-86.956,20.735
"113","40145",Estructura Coralina,"5",143.99999999000,"40145","40146","1",RF N,PUMA.kmz,0.00060106821,0.00000001250,144.115,life cover,-8.40000000000,-86.954,20.735
"114","40146",Estructura Coralina,"5",1264.00000016000,"40146","40147","1",RF N,PUMA.kmz,0.00175054008,0.00000009820,1132.383,life cover,-6.10000000000,-86.954,20.737
"115","40147",Estructura Coralina,"5",95.99999996820,"40147","40148","1",RF N,PUMA.kmz,0.00035563284,0.00000000399,45.961,life cover,-7.60000000000,-86.954,20.738
"116","40148",Estructura Coralina,"5",1888.00000002000,"40148","40149","1",RF N,PUMA.kmz,0.00224497109,0.00000015465,1783.206,life cover,-6.20000000000,-86.954,20.738
"117","40151",Estructura Coralina,"5",863.99999989200,"40151","40152","1",RF N,PUMA.kmz,0.00112075766,0.00000007499,864.690,life cover,-2.80000000000,-86.956,20.740
