OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,lon,lat,cover,Z
"808","128428",Tocones y Pedacería de Coral,"6",127.99999995900,"128428","128429","1",RF N,PUMA.kmz,0.00051512719,0.00000001111,128.10300000000,-86.95400000000,20.74200000000,bare substrate,-3.10018735655
"809","128429",Tocones y Pedacería de Coral,"6",128.00000000900,"128429","128430","1",RF N,PUMA.kmz,0.00067337011,0.00000001111,128.10200000000,-86.95300000000,20.74200000000,bare substrate,-4.07824980855
"810","128430",Tocones y Pedacería de Coral,"6",287.99999994300,"128430","128431","1",RF N,PUMA.kmz,0.00119761373,0.00000002500,288.23000000000,-86.95300000000,20.74200000000,bare substrate,-5.19999980927
"811","128431",Tocones y Pedacería de Coral,"6",528.00000001200,"128431","128432","1",RF N,PUMA.kmz,0.00126534167,0.00000004583,528.42300000000,-86.95400000000,20.74200000000,bare substrate,-3.86939393116
"812","128432",Tocones y Pedacería de Coral,"6",148.80000000600,"128432","128433","1",RF N,PUMA.kmz,0.00055185281,0.00000001292,148.91900000000,-86.95500000000,20.74300000000,bare substrate,-6.54569144265
"813","128433",Tocones y Pedacería de Coral,"6",815.99999993700,"128433","128434","1",RF N,PUMA.kmz,0.00179414306,0.00000007083,816.65400000000,-86.95400000000,20.74200000000,bare substrate,-3.21784343534
"814","128434",Tocones y Pedacería de Coral,"6",479.99999997500,"128434","128435","1",RF N,PUMA.kmz,0.00112077115,0.00000004166,480.38400000000,-86.95300000000,20.74300000000,bare substrate,-4.62888842403
"815","128435",Tocones y Pedacería de Coral,"6",79.99999996050,"128435","128436","1",RF N,PUMA.kmz,0.00044739745,0.00000000694,80.06300000000,-86.95500000000,20.74300000000,bare substrate,-5.16999930608
"816","128436",Tocones y Pedacería de Coral,"6",143.99999999600,"128436","128437","1",RF N,PUMA.kmz,0.00060564486,0.00000001250,144.11600000000,-86.95300000000,20.74300000000,bare substrate,-5.16533277938
"817","128437",Tocones y Pedacería de Coral,"6",111.99999994900,"128437","128438","1",RF N,PUMA.kmz,0.00044739655,0.00000000972,112.09000000000,-86.95500000000,20.74300000000,bare substrate,-5.33077562275
