ID,zone,length,poligon
99,BR,124.17,C
100,BR,117.38,C
101,BR,113.1,C
102,BR,111.08,C
103,BR,114.77,C
104,BR,117.92,C
105,BR,116.54,C
106,BR,110.64,C
107,BR,102.31,C
108,BR,100.37,C
109,BR,99.488,C
110,BR,98.159,C
111,BR,96.803,C
112,BR,100.6,C
113,BR,125.18,C
114,BR,144.64,C
115,BR,151.1,C
116,BR,150.86,C
117,BR,141.41,C
118,BR,134.4,C
119,BR,126.66,C
120,BR,120.63,C
121,BR,112.22,C
122,BR,103.97,C
123,BR,94.496,C
124,BR,80.934,C
125,BR,107.1,C
126,BR,142.11,C
127,BR,138.23,C
128,BR,133.22,C
129,BR,127.24,C
130,BR,116.13,C
131,BR,106.23,C
132,BR,105.79,C
133,BR,141.52,C
134,BR,162.06,C
135,BR,159.65,C
136,BR,150.76,C
137,BR,136.15,C
138,BR,123,C
139,BR,114.09,C
140,BR,97.631,C
141,BR,76.213,C
142,BR,71.617,C
143,BR,70.983,C
144,BR,85.797,C
145,BR,98.229,C
146,BR,104.28,C
147,BR,106.34,C
148,BR,103.85,C
149,BR,97.429,C
150,BR,96.889,C
151,BR,97.054,C
152,BR,74.746,N
153,BR,111.56,N
154,BR,111.53,N
155,BR,117.44,N
156,BR,126.47,N
157,BR,130.05,N
158,BR,136.26,N
159,BR,143.52,N
160,BR,154.36,N
161,BR,157.55,N
162,BR,146.7,N
163,BR,117.2,N
164,BR,105.68,N
165,BR,106.06,N
166,BR,108.37,N
167,BR,114.64,N
168,BR,140.92,N
169,BR,145.85,N
170,BR,123.06,N
171,BR,125.22,N
172,BR,130.54,N
173,BR,138.21,N
174,BR,133.41,N
175,BR,128.39,N
176,BR,123.19,N
177,BR,128.16,N
178,BR,129.42,N
179,BR,130.05,N
180,BR,131.92,N
181,BR,126.68,N
182,BR,116.61,N
183,BR,116.39,N
184,BR,125.86,N
185,BR,134.54,N
186,BR,128.67,N
187,BR,126.14,N
188,BR,127.29,N
189,BR,125.86,N
190,BR,123.56,N
191,BR,120.43,N
192,BR,118.14,N
193,BR,116.28,N
194,BR,114.09,N
195,BR,118.72,N
196,BR,123.52,N
197,BR,131.48,N
198,BR,137.63,N
199,BR,142.18,N
200,BR,149.29,N
201,BR,151.91,N
202,BR,154.22,N
203,BR,156.95,N
204,BR,159.23,N
205,BR,162.2,N
206,BR,166.19,N
207,BR,165.62,N
208,BR,166.6,N
209,BR,169.73,N
210,BR,174.62,N
211,BR,182.93,N
212,BR,189.35,N
213,BR,193.94,N
214,BR,198.13,N
215,BR,202.6,N
216,BR,201.18,N
217,BR,199.63,N
218,BR,194.53,N
219,BR,188.63,N
220,BR,182.88,N
221,BR,178.04,N
222,BR,173.17,N
223,BR,166.84,N
224,BR,159.97,N
225,BR,152.48,N
226,BR,150.66,N
227,BR,149.58,N
228,BR,153.09,N
229,BR,156.46,N
230,BR,159.5,N
231,BR,161.86,N
232,BR,164.05,N
233,BR,166.11,N
234,BR,168.54,N
235,BR,171.31,N
236,BR,169.32,N
237,BR,167.68,N
238,BR,164.85,N
239,BR,158.45,N
240,BR,152.97,N
241,BR,147.62,N
243,BR,152.38,N
244,RF,103.93,N
245,RF,102.14,S
246,RF,99.852,S
247,RF,97.384,S
248,RF,96.826,S
249,RF,98.264,S
250,RF,161.69,S
251,RF,99.834,S
252,RF,102.44,S
253,RF,104.29,S
254,RF,105.98,S
255,RF,109.23,S
256,RF,107.59,S
257,RF,111.03,S
258,RF,112.11,S
259,RF,112.9,S
260,RF,113.29,S
261,RF,113.12,S
262,RF,97.408,S
263,RF,85.024,S
264,RF,86.132,S
265,RF,88.783,S
266,RF,95.363,S
267,RF,95.411,S
268,RF,107.05,S
269,RF,106.26,S
270,RF,98.403,S
271,RF,87.112,S
272,RF,94.094,S
273,RF,120.57,S
274,RF,124.13,S
275,RF,127.71,S
276,RF,127.48,S
277,RF,122.63,S
278,RF,119.61,S
279,RF,119.25,S
280,RF,114.12,S
281,RF,100.92,S
282,RF,122.81,S
283,RF,127.86,S
284,RF,123.69,S
285,RF,115.08,S
286,RF,108.87,S
287,RF,96.252,S
